quine	time	sincelast
1010	2719690.782	2705.534
1011	2720579.327	888.545
1012	2726738.39	6159.063
1013	2728526.249	1787.859
1014	2730105.424	1579.175
1015	2732453.498	2348.074
1016	2734581.466	2127.968
1017	2743999.692	9418.226
1018	2747256.177	3256.485
1019	2747787.404	531.227
1020	2752015.603	4228.199
1021	2752046.552	30.949
1022	2752874.328	827.776
1023	2753251.64	377.312
1024	2753550.9	299.26
1025	2757106.998	3556.098
1026	2758712.934	1605.936
1027	2759274.638	561.704
1028	2759350.839	76.201
1029	2764336.601	4985.762
1030	2764340.613	4.0120000000000005
1031	2764444.481	103.868
1032	2765040.679	596.198
1033	2765064.426	23.747
1034	2768863.131	3798.705
1035	2769357.374	494.243
1036	2769660.795	303.421
1037	2772159.325	2498.5299999999997
1038	2773371.856	1212.531
1039	2773529.64	157.784
1040	2774531.745	1002.105
1041	2774947.128	415.383
1042	2775089.297	142.169
1043	2778365.278	3275.981
1044	2780817.46	2452.182
1045	2781446.079	628.619
1046	2784568.816	3122.737
1047	2784944.457	375.641
1048	2796595.59	11651.133
1049	2796970.742	375.152
1050	2798559.344	1588.602
1051	2802445.119	3885.775
1052	2803286.65	841.531
1053	2805747.019	2460.369
1054	2806950.371	1203.352
1055	2808530.508	1580.137
1056	2809389.694	859.186
1057	2814638.482	5248.788
1058	2816374.042	1735.56
1059	2824356.922	7982.88
1060	2825999.565	1642.643
1061	2826761.295	761.73
1062	2837904.225	11142.93
1063	2838813.133	908.908
1064	2838953.157	140.024
1065	2841159.103	2205.946
1066	2848205.911	7046.808
1067	2849491.241	1285.33
1068	2865286.828	15795.587
1069	2866593.216	1306.388
1070	2884701.027	18107.811
1071	2887066.034	2365.007
1072	2893214.747	6148.713
1073	2905012.135	11797.388
1074	2909036.429	4024.294
1075	2923298.058	14261.629
1076	2959449.787	36151.729
1077	2961154.746	1704.959
1078	2969573.763	8419.017
1079	2970548.589	974.826
1080	2975928.497	5379.908
1081	2981573.079	5644.582
1082	2987773.235	6200.156
1083	2995947.281	8174.046
1084	3000629.275	4681.994
1085	3001433.383	804.108
1086	3023867.599	22434.216
1087	3024998.525	1130.926
1088	3036275.736	11277.211
1089	3040665.922	4390.186
1090	3043124.607	2458.685
1091	3049267.439	6142.832
1092	3067223.149	17955.71
1093	3073690.015	6466.866
1094	3080624.042	6934.027
1095	3103556.975	22932.933
1096	3107041.683	3484.708
1097	3108036.2	994.517
1098	3115854.915	7818.715
1099	3122018.851	6163.936
1100	3130031.398	8012.547
1101	3130129.716	98.318
1102	3131613.339	1483.623
1103	3131618.843	5.504
1104	3132471.847	853.004
1105	3134817.004	2345.157
1106	3135376.728	559.724
1107	3137767.559	2390.831
1108	3145620.962	7853.403
1109	3152025.288	6404.326
1110	3153039.196	1013.908
1111	3153506.056	466.86
1112	3154546.074	1040.018
1113	3162058.51	7512.436
1114	3182591.222	20532.712
1115	3186247.821	3656.599
1116	3203348.672	17100.851
1117	3205906.764	2558.092
1118	3207956.768	2050.004
1119	3212393.947	4437.179
1120	3237048.562	24654.615
1121	3245298.212	8249.65
1122	3264797.443	19499.231
1123	3265964.782	1167.339
1124	3267541.787	1577.005
1125	3269118.56	1576.773
1126	3289372.147	20253.587
1127	3291549.12	2176.973
1128	3296252.157	4703.037
1129	3301971.068	5718.911
1130	3304320.956	2349.888
1131	3309969.004	5648.048
1132	3314076.13	4107.126
1133	3329493.07	15416.94
1134	3332377.252	2884.182
1135	3332844.457	467.205
1136	3338050.583	5206.126
1137	3349462.136	11411.553
1138	3350620.775	1158.639
1139	3353785.704	3164.929
1140	3354776.283	990.579
1141	3372078.223	17301.940000000002
1142	3374579.409	2501.186
1143	3381468.604	6889.195
1144	3396763.622	15295.018
1145	3400133.776	3370.154
1146	3401709.399	1575.623
1147	3402834.984	1125.585
